,Username,Time,Date,Replies,Post
0,References,10:19pm,Jul 09,29,"['The body of Mrs. Elizabeth Ndubuisi Chukwu, the Deputy Director General of the Chartered Insurance Institute of Nigeria (CIIN), who was murdered in her hotel room in Johannesburg, South Africa, last month after attending an international conference there, has been brought to Nigeria.', None, None, 'Vanguard gathered that the body was kept in a mortuary in Asaba, Delta State where it would remain until 25th of July when she would be buried in her home town, Ihiala in Anambra State. ', None, None, 'Anambra State Commissioner for Information and Public Enlightenment, Mr. C. Don Adinuba told Vanguard that arrangement for her burial has already begun, adding that members of her family were already aware of the arrival of her body. ', None, None, 'Adinuba said, “Yes. Her body has arrived Nigeria. It is in Asaba as we speak and it will remain there until 25th July when it will be taken to Ihiala in Anambra State for burial.” ', None, None, 'He, however, did not give details of the likely state government involvement in the burial, even as he said that the family was already aware of the arrival of her body to Nigeria.', None, None, None, 'https://www.vanguardngr.com/2019/07/murdered-nigerian-ddg-of-ciin-ndubuisi-for-burial-25th-july/']"
1,GistOffer,8:28am,Jul 09,31,"['Beautiful endowed lady who displays her cleavage in sexy outfit, all loved up with her giant fiance in their pre-wedding photoshoot.', None, None, 'See more photos; ', 'http://gistmore.com/pre-wedding-photos-of-a-giant-man-and-his-pretty-endowed-finance']"
2,Breakingfamous,9:07pm,Jul 09,27,"[None, None, 'Source: ', 'http://www.thefamousnaija.com/2019/07/june-chukwuebube-dean-korra-obidi-and.html?m=1']"
3,GISTBL0G,10:34pm,Jul 09,30,"['The popular and well sought after ‘Amigos Supermarket’ also known as ‘4U Supermarket’, in Wuse 2, Abuja, was gutted by fire on Tuesday.', None, None, 'Mr Jerry Timvh, Public Relations Officer (PRO), Federal Capital Territory (FCT) Fire Service, confirmed this in an interview with  the News Agency of Nigeria (NAN).', None, None, 'Timvh said that the fire outbreak, which affected only the warehouse section of the store, started at about 1:30p.m but was successfully put out by firefighters at 7:30p.m.', None, None, 'According to him, the cause of the fire is yet to be discovered as investigation is ongoing.', None, None, '“The fire incident led to the loss of many goods in the store but an exact estimate of how much is yet to be revealed.', None, None, '“The fire did not affect the main supermarket as it was controlled to reduce wild spread.', None, None, '“There was no casualty as shoppers and staff of the store were able to evacuate the store immediately the fire started,” he said.', None, None, 'Amigos supermarket name was changed to ‘4U supermarket’ in 2015. ', None, None, 'See more here; ', 'http://gistmore.com/fire-guts-amigos-supermarket-in-abuja']"
4,CotenantNIG,9:18pm,Jul 09,30,"['Most Dangerous Roads in Lagos', None, None, None, None, 'With a heavy heart i write this post', None, None, 'Last week we lost a young chap to one chance in one of the most dangerous roads in Lagos, this roads are the places you would see high rate of high way robbers, one chance, Kidnappers and Ritusliast in Lagos and even crazy tanker drivers', None, None, 'It is better to be late to work than to be early in death, a lot of lagosians have been killed because the average lagosian leaves his or her house as early as 4:30am , you dont believe me come out around 400am anywhere in Lagos and you would meet thousands on the road, this is the time most one chnace actors act their film.', None, None, 'I encourage everyone that live early to work to get a shared apartment or stay with a collegue or relation than to put one self in danger, there are thousands of places to get shared apartmemts in Lagos close to your work place', None, None, 'Lagos Population is not a blessing but a curse that is affecting a lot of hardworking people in Lagos, everyone wants to come to lagos thinking money grows on trees and when they come they get dissapointed and discover is not as potrayed in movies, because of shame a lot wont go back home but would pick up a life of crime', None, None, 'I implore the Lagos State Government to please do something about one chance in Lagos, lagos state should please install cctv cameras on all highways in lagos or better still get adequate police to man this roads or high ways', None, None, 'Commuters should make sure to enter buses at the garage and not just any place , as NURTW monitor and know most of this drivers and even conductors', None, 'Dont enter danfo bus without the yellow color, dont be in a hurry to enter bus observe by looking before you enter the bus', None, None, 'Lets get started', None, None, 'Isheri-Igando-Iyana Iba', None, None, 'Believe me this is the most dangerous road in south west Nigeria, two people close to me have entered one chance on this road. one was held from 4pm to 4am the next morning. ', None, None, 'Ojo-Festac-Agbara', None, None, 'This is due to the fact that this road is connected to iyana iba, most people living in this place we know of 1 million boys that terrorise this location daily', None, None, 'Mowe-Berger', None, None, 'A lot of things happen on this road, if you are not careful in the night, you could be stabbed to death by herdsmen', None, None, 'Oshodi-IlasaMaja-Cele', None, None, 'This is another hot one chance spot, growing up in this place you would see dead bodies on the highway that was in 2004,2005 and so.  i believe it is reduced now', None, None, 'Tincan-Ijora', None, None, 'The reason this place is here is because of the menace of tanker drivers, tincan road is messed up so when the drunk tanker drivers are driving on dangerous poth holes they dont care this leads the tanker to tilt and in the process lose balance, most of the tankers are not belted', None, None, 'Ojuelegba', None, None, 'Ojuelegba is in the same category has tincan, you would imagine tanker drivers climbing that bridge without been belted', None, None, 'New Garage-First Gate – Odogunyan Road', None, None, 'i remember a time when a tanker driver was climbing the sloopy road before first bank located at laspotech gate, a woman was driving was at his back and the unimaginable happened, the tanker slooped back and crushed the woman with her car the painful part was the woman was pregnant.  make me to ask who do they award lagos roads too', None, None, 'Badagry', None, None, 'Badagry is on the list too', None, None, 'Charly Boy- Gbagada', None, None, 'This is the highway link between lagos mainland and island, if you enter one chance on this highway the chances you would survive is very slim, once they are done with you they would push you on the highway', None, None, 'AJah ', None, None, 'Source: ', 'https://cotenant.com.ng/2019/07/09/most-dangerous-roads-in-lagos/', None, None, None, ' Make sure to add yours']"
5,Islie,9:07pm,Jul 09,30,"['See earlier thread ', 'https://www.nairaland.com/5286305/photo-man-urinating-bible-punch', None, None, None, None, None, 'https://www.pmnewsnigeria.com/2019/07/09/coza-saga-the-punch-removes-editor-over-offensive-cartoon/']"
6,collinsuchendu,9:04pm,Jul 09,30,"['A sad incident played out today at NNPC road, Kaduna state, as two men were electrocuted while working on a streetlight. ', None, None, 'An eyewitness present at the scene of the incident, revealed that the two men were electrocuted to death after a high tension cable made contact with the metallic ladder they used for the job. The police have already been notified for evacuation of their corpse. ', None, None, 'Source: ', 'https://www.collinsuchendusblog.com/2019/07/two-men-electrocuted-in-kaduna-while.html?m=1']"
7,Bensondrums,8:21pm,Jul 09,31,"['Excitement as Samuel Ogbemudia stadium takes shape', None, None, 'As construction at the Samuel Ogbemudia Stadium reaches advanced stage with the laying of the canopy cover, residents in Edo State have lauded the Governor Godwin Obaseki-led government for its commitment to sports development.', None, None, None, None, 'A cross section of residents in Benin City, who spoke to journalists, said they were impressed with the speed and quality of work at the stadium, which according to them, would transform the state into a sporting destination in no distant time.', None, None, None, 'Mr. Agho Omo, who resides in Stadium Road, said work is progressing smoothly at the stadium, commending Governor Obaseki for prioritising the reconstruction of the stadium to revive sports in the state.', None, None, 'We‘ll bring an end to banditry, insecurity in Zamfara — SSG(Opens in a new browser tab)', None, None, 'According to him, “I am impressed with the work done. The state government under Governor Obaseki has shown what is possible when funds are maximised for development. This is the right step in the right direction. The governor and his team have shown that they are indeed committed to sports development and are expert managers of resources.', None, None, '“As someone who lives on this axis of town, I know what this stadium looked like before. But with the work done now, we can host international games at the Samuel Ogbemudia stadium. It is heart-warming.”', None, None, 'A footballer, Mr. Innocent Omozuwa, said the state government has impressed the sporting community in the state with the stadium revamp project, noting that the natural grass at the stadium would make the stadium a footballer’s delight, amid other attractions.', None, None, '“When completed, I bet that everyone in Benin will want to watch matches here. The stadium now has a beautiful canopy cover. The chairs are being well laid. We are so excited with what the governor has done,” he added.', None, None, 'Work at the stadium started last year, with the plan being a revamp of the stadium, the tennis court and the swimming pool sections. The state is billed to host the National Sports Festivals next year, with preparations in top gear to ensure that Edo puts up a good showing of its sporting potential.', None, None, None, 'https://www.vanguardngr.com/2019/06/excitement-as-samuel-ogbemudia-stadium-takes-shape/amp/']"
8,GISTBL0G,8:58pm,Jul 09,30,"['Dressed in a black, white and ash checked shirt and black trousers, bearded Bidemi Mojupa, 26, alleged to have murdered his lover inside Corporation Estate, Amuwo Odofin last Tuesday, showed no sign of remorse.', None, None, 'His expression while recounting the incident that led to his killing the woman he described as “my prostitute friend,” showed no sobriety for a first-timer, who claimed to have not premeditated killing the woman identified as Christy for denying him sex.', None, None, 'Mojupa, a graduate of Mass Communication from Rivers State Polytechnic admitted it was not the first time they would be having “good time,” adding that he dragged her inside the house when she made to leave and then stabbed her on the neck from behind.', None, None, 'According to him, he was high on Rohypnol, tranquilizer about 10 times more potent than valium, which he became addicted to while in school where he joined the Vykings cult group.', None, None, 'The suspect, who was paraded before reporters at the State Criminal Investigation and Intelligence Department (SCIID) Panti in Yaba on Tuesday, said he was under pressure to have sex and felt bad when Christy turned him down.', None, None, 'Mojupa said he tried to force her but she refused and insisted on payment before service which led to an altercation between them, which probably alerted the neighbours.', None, None, 'The suspect denied being a ritualist, claiming it was the mob justice meted to him that made him admit in the viral video.', None, None, 'He said: “She was my prostitute friend. It was not the first time we were meeting. I was high on drugs and under pressure to make love when I went to pick her. We agreed and came my place at 55A Corporation Estate, Amuwo Odofin.', None, None, '“But when I wanted to do it, she refused and said I should pay her first. We started arguing. She walked out and wanted to live but I dragged her back inside and stabbed her on the neck.', None, None, '“It was a kitchen knife I used in stabbing her. She did not see the knife coming. I had earlier used the knife to peel oranges and dropped it on top of the washing machine before I went to pick her.', None, None, 'After killing her, I was afraid and wanted to run away. I did not know what to do.”', None, 'Asked if he planned to escape and put his uncle in whose house he committed the crime in trouble, Mojupa said no, adding “I would have only escaped for a while.”', None, None, 'Asked about the 17 women handbags found in the duplex, Mojupa said they belonged to the owners of the house his uncle took over from.', None, None, '“It is my uncle’s house. When the incident happened he was not around but he is back now. Those bags belong to the former owners of the house. The people my uncle took over the house from. I have never killed anyone and I am not a ritualist. I was high on drugs,” he said.', None, None, 'https://www.google.com/amp/s/thenationonlineng.net/i-killed-my-lover-because-she-denied-me-sex-says-suspect/amp/']"
9,supremenews,10:33am,Jul 09,30,"['A 14-year-old boy was arrested on Monday in connection with the rape of a young woman in Germany.', None, None, 'The prosecutor said that the boy was arrested, due to concerns he could become a repeat offender, adding that the boy was known to police for sexual harassment on two other occasions but under German law, he was not old enough to be prosecuted on those occasions.', None, None, 'The age of criminal responsibility in Germany is 14, he added.', None, None, 'However, the arrested teenager is one of five suspects of the rape case; three 14-year-olds and two 12-year-olds who are all of Bulgarian nationality.', None, None, 'The teenagers are suspected of raping an 18-year-old woman in a wooded area near a playground in the north-western town of Muelheim in North-Rhine Westphalia on Friday evening.', None, None, 'The Local government in Dusseldorf confirmed that the suspects had previously been questioned by police and then returned to their parents after which they were suspended from school.', None, None, 'Two of the five suspects had been known to the Youth Welfare Office (Jugendamt), which had been active in their families.', None, None, 'The Youth Welfare Office was asked to contact the families along with local social services in order to offer help and support, a local spokeswoman said on Monday.', None, None, '“It is possible that the children will be taken into care,’’ she said.', None, None, 'Police confirmed that the victim left the hospital on Saturday, after being treated. Investigators declined to give out information about the young woman, citing victim protection concerns.', None, None, 'source: ', 'https://www.titiloyeblog.com/2019/07/boy-14-arrested-for-allegedly-raping-18.html']"
